tiempo,prediccion,fase_aplicada,BenignoMalo_entre_Bolivar_Sucre_cola,BenignoMalo_entre_Bolivar_Sucre_espera,Sucre_llegada_BenignoMalo_cola,Sucre_llegada_BenignoMalo_espera
1.0,1,0,0,0.0,0,0.0
2.0,1,0,0,0.0,0,0.0
3.0,1,0,0,0.0,0,0.0
4.0,1,0,0,0.0,0,0.0
5.0,1,1,0,0.0,0,0.0
6.0,1,1,0,0.0,0,0.0
7.0,1,1,0,0.0,0,0.0
8.0,1,1,0,0.0,0,0.0
9.0,1,1,0,0.0,0,0.0
10.0,1,1,0,0.0,0,0.0
11.0,1,1,0,0.0,0,0.0
12.0,1,1,0,0.0,0,0.0
13.0,1,1,0,0.0,0,0.0
14.0,1,1,0,0.0,0,0.0
15.0,1,1,0,0.0,0,0.0
16.0,1,1,0,0.0,0,0.0
17.0,1,1,0,0.0,0,0.0
18.0,1,1,0,0.0,0,0.0
19.0,1,1,0,0.0,0,0.0
20.0,1,1,0,0.0,0,0.0
21.0,1,1,0,0.0,0,0.0
22.0,1,1,0,0.0,0,0.0
23.0,1,1,0,0.0,0,0.0
24.0,1,1,0,0.0,0,0.0
25.0,1,1,0,0.0,0,0.0
26.0,1,1,0,0.0,0,0.0
27.0,1,1,0,0.0,0,0.0
28.0,1,1,0,0.0,0,0.0
29.0,1,1,0,0.0,0,0.0
30.0,1,1,0,0.0,0,0.0
31.0,1,1,0,0.0,0,0.0
32.0,1,1,0,0.0,0,0.0
33.0,1,1,0,0.0,0,0.0
34.0,1,1,0,0.0,0,0.0
35.0,1,1,0,0.0,0,0.0
36.0,1,1,0,0.0,0,0.0
37.0,1,1,0,0.0,0,0.0
38.0,1,1,0,0.0,0,0.0
39.0,1,1,1,0.25,0,0.0
40.0,1,1,1,0.5,0,0.0
41.0,1,1,2,1.0,0,0.0
42.0,1,1,2,1.5,0,0.0
43.0,1,1,3,2.25,0,0.0
44.0,1,1,3,2.4,0,0.0
45.0,1,1,4,3.2,0,0.0
46.0,1,1,4,3.3333333333333335,0,0.0
47.0,1,1,4,4.0,0,0.0
48.0,1,1,4,4.666666666666667,0,0.0
49.0,1,1,4,5.333333333333333,0,0.0
50.0,1,1,4,6.0,0,0.0
51.0,1,1,4,6.666666666666667,0,0.0
52.0,1,1,4,7.333333333333333,0,0.0
53.0,1,1,4,8.0,0,0.0
54.0,1,1,4,8.666666666666666,0,0.0
55.0,1,1,4,9.333333333333334,0,0.0
56.0,1,1,4,10.0,0,0.0
57.0,1,1,5,10.833333333333334,0,0.0
58.0,1,1,3,9.0,0,0.0
59.0,1,1,1,4.25,0,0.0
60.0,1,1,0,0.0,0,0.0
61.0,1,1,0,0.0,0,0.0
62.0,1,1,0,0.0,0,0.0
63.0,1,1,0,0.0,0,0.0
64.0,1,1,0,0.0,0,0.0
65.0,1,1,0,0.0,0,0.0
66.0,0,1,0,0.0,1,0.5
67.0,0,1,0,0.0,1,0.6666666666666666
68.0,0,1,0,0.0,2,1.3333333333333333
69.0,0,1,0,0.0,2,2.0
70.0,0,0,0,0.0,2,2.6666666666666665
71.0,0,0,0,0.0,2,3.3333333333333335
72.0,0,0,0,0.0,2,4.0
73.0,0,0,0,0.0,2,4.666666666666667
74.0,0,0,0,0.0,2,5.333333333333333
75.0,1,0,0,0.0,2,6.0
76.0,0,0,0,0.0,3,7.0
77.0,0,0,0,0.0,3,8.0
78.0,0,0,0,0.0,3,9.0
79.0,0,0,0,0.0,3,7.5
80.0,0,0,0,0.0,3,8.25
81.0,0,0,0,0.0,3,9.0
82.0,0,0,0,0.0,3,9.75
83.0,0,0,0,0.0,3,8.4
84.0,0,0,0,0.0,3,9.0
85.0,0,0,0,0.0,3,9.6
86.0,0,0,0,0.0,3,10.2
87.0,0,0,0,0.0,3,10.8
88.0,0,0,0,0.0,3,9.5
89.0,0,0,0,0.0,4,10.166666666666666
90.0,0,0,0,0.0,4,10.833333333333334
91.0,0,0,0,0.0,5,11.666666666666666
92.0,0,0,0,0.0,5,12.5
93.0,0,0,0,0.0,5,13.333333333333334
94.0,0,0,0,0.0,5,14.166666666666666
95.0,0,0,0,0.0,5,15.0
96.0,0,0,0,0.0,6,16.0
97.0,0,0,0,0.0,6,17.0
98.0,0,0,0,0.0,6,18.0
99.0,0,0,0,0.0,6,19.0
100.0,0,0,0,0.0,6,20.0
101.0,0,0,0,0.0,6,21.0
