tiempo,prediccion,fase_aplicada,Bolivar_llegada_Cordero_cola,Bolivar_llegada_Cordero_espera,LuisCordero_entre_Bolivar_Sucre_cola,LuisCordero_entre_Bolivar_Sucre_espera
1.0,1,0,1,0.0,0,0.0
2.0,1,0,0,0.0,0,0.0
3.0,1,0,1,0.0,0,0.0
4.0,1,0,0,0.0,0,0.0
5.0,1,1,0,0.0,0,0.0
6.0,1,1,1,0.0,0,0.0
7.0,1,1,0,0.0,0,0.0
8.0,1,1,0,0.0,0,0.0
9.0,1,1,1,0.0,0,0.0
10.0,1,1,0,0.0,0,0.0
11.0,1,1,0,0.0,0,0.0
12.0,1,1,1,0.0,0,0.0
13.0,1,1,0,0.0,0,0.0
14.0,1,1,1,0.0,0,0.0
15.0,1,1,1,0.16666666666666666,0,0.0
16.0,1,1,0,0.0,0,0.0
17.0,1,1,1,0.0,0,0.0
18.0,1,1,0,0.0,0,0.0
19.0,1,1,1,0.0,0,0.0
20.0,0,0,0,0.0,0,0.0
21.0,1,0,0,0.0,0,0.0
22.0,1,0,1,0.0,0,0.0
23.0,1,0,0,0.0,0,0.0
24.0,1,0,1,0.14285714285714285,0,0.0
25.0,0,0,2,0.25,0,0.0
26.0,0,0,2,0.5,0,0.0
27.0,0,0,2,0.75,0,0.0
28.0,0,0,3,0.8888888888888888,0,0.0
29.0,0,0,3,1.2222222222222223,0,0.0
30.0,0,0,5,1.5,0,0.0
31.0,0,0,4,1.9,0,0.0
32.0,0,0,4,2.3,0,0.0
33.0,0,0,5,2.8,0,0.0
34.0,1,0,6,3.4,0,0.0
35.0,0,0,6,4.0,0,0.0
36.0,0,0,6,4.6,0,0.0
37.0,0,0,7,5.3,0,0.0
38.0,0,0,8,6.1,0,0.0
39.0,0,0,8,6.9,0,0.0
40.0,0,0,8,7.7,0,0.0
41.0,0,0,9,8.6,0,0.0
42.0,0,0,9,9.5,0,0.0
43.0,0,0,10,10.5,0,0.0
44.0,0,0,10,11.5,0,0.0
45.0,0,0,10,12.5,0,0.0
46.0,0,0,10,13.5,0,0.0
47.0,0,0,10,14.5,0,0.0
48.0,0,0,10,15.5,0,0.0
49.0,0,0,11,15.0,0,0.0
50.0,0,0,10,15.909090909090908,0,0.0
51.0,0,0,10,16.818181818181817,0,0.0
52.0,0,0,10,17.727272727272727,0,0.0
53.0,0,0,10,18.636363636363637,0,0.0
54.0,0,0,10,19.545454545454547,0,0.0
55.0,0,0,10,20.454545454545453,0,0.0
56.0,0,0,10,21.363636363636363,0,0.0
57.0,0,0,10,22.272727272727273,0,0.0
58.0,0,0,11,23.272727272727273,0,0.0
59.0,0,0,11,24.272727272727273,0,0.0
60.0,0,0,11,25.272727272727273,0,0.0
61.0,0,0,12,24.083333333333332,0,0.0
62.0,0,0,11,25.0,0,0.0
63.0,0,0,11,25.916666666666668,0,0.0
64.0,0,0,11,26.833333333333332,0,0.0
65.0,0,0,11,27.75,0,0.0
66.0,0,0,11,28.666666666666668,0,0.0
67.0,0,0,11,29.583333333333332,0,0.0
68.0,0,0,12,30.583333333333332,0,0.0
69.0,0,0,12,31.583333333333332,0,0.0
70.0,0,0,12,32.583333333333336,0,0.0
71.0,0,0,11,32.27272727272727,0,0.0
72.0,0,0,10,29.0,0,0.0
73.0,0,0,9,25.818181818181817,0,0.0
74.0,0,0,8,24.8,0,0.0
75.0,0,0,7,21.3,1,0.25
76.0,0,0,6,17.7,1,0.5
77.0,0,0,5,15.777777777777779,1,0.6
78.0,0,0,4,11.777777777777779,2,1.0
79.0,0,0,3,8.875,2,1.4
80.0,1,1,2,4.5,2,1.2857142857142858
81.0,1,1,2,1.5555555555555556,2,1.8333333333333333
82.0,1,1,0,0.0,2,2.1666666666666665
83.0,1,1,0,0.0,3,2.2857142857142856
84.0,1,1,1,0.0,3,2.7142857142857144
85.0,1,1,0,0.0,4,2.5555555555555554
86.0,1,1,0,0.0,5,3.111111111111111
87.0,1,1,0,0.0,6,3.7777777777777777
88.0,1,1,0,0.0,6,4.0
89.0,1,1,0,0.0,7,5.222222222222222
90.0,1,1,0,0.0,8,6.111111111111111
91.0,1,1,0,0.0,8,7.0
92.0,1,1,0,0.0,9,7.2
93.0,1,1,0,0.0,9,8.1
94.0,1,1,0,0.0,9,9.0
95.0,1,1,0,0.0,9,9.9
96.0,1,1,0,0.0,9,9.818181818181818
97.0,1,1,1,0.0,10,10.727272727272727
98.0,1,1,0,0.0,10,11.636363636363637
99.0,1,1,0,0.0,11,12.636363636363637
100.0,1,1,0,0.0,11,13.636363636363637
101.0,1,1,0,0.0,11,14.636363636363637
102.0,1,1,0,0.0,11,15.636363636363637
103.0,1,1,0,0.0,11,16.636363636363637
104.0,1,1,0,0.0,11,17.636363636363637
105.0,1,1,0,0.0,11,18.636363636363637
106.0,1,1,0,0.0,11,19.636363636363637
107.0,1,1,0,0.0,11,20.636363636363637
108.0,1,1,0,0.0,11,21.636363636363637
109.0,1,1,0,0.0,11,22.636363636363637
110.0,1,1,0,0.0,11,23.636363636363637
111.0,1,1,0,0.0,11,24.636363636363637
112.0,1,1,0,0.0,11,25.636363636363637
113.0,1,1,0,0.0,11,26.636363636363637
114.0,1,1,0,0.0,11,27.636363636363637
115.0,1,1,0,0.0,11,28.636363636363637
116.0,1,1,0,0.0,11,29.636363636363637
117.0,1,1,0,0.0,11,30.636363636363637
118.0,1,1,0,0.0,11,29.0
119.0,1,1,0,0.0,11,32.63636363636363
120.0,1,1,0,0.0,11,33.63636363636363
121.0,1,1,1,0.0,11,34.63636363636363
122.0,1,1,0,0.0,11,35.63636363636363
123.0,1,1,1,0.0,11,36.63636363636363
124.0,1,1,0,0.0,11,37.63636363636363
125.0,1,1,1,0.0,11,38.63636363636363
126.0,1,1,0,0.0,11,36.333333333333336
127.0,1,1,0,0.0,11,37.25
128.0,1,1,1,0.0,12,38.25
129.0,1,1,0,0.0,12,39.25
130.0,1,1,0,0.0,12,40.25
131.0,1,1,1,0.0,12,41.25
132.0,1,1,0,0.0,12,42.25
133.0,1,1,0,0.0,10,40.4
134.0,1,1,1,0.0,8,31.2
135.0,1,1,0,0.0,6,22.1
136.0,1,1,1,0.0,4,16.75
137.0,1,1,0,0.0,3,11.25
138.0,1,1,1,0.14285714285714285,2,7.285714285714286
139.0,1,1,1,0.2857142857142857,1,1.7142857142857142
140.0,1,1,1,0.42857142857142855,0,0.0
141.0,1,1,1,0.5714285714285714,0,0.0
142.0,1,1,1,0.7142857142857143,0,0.0
143.0,1,1,2,1.0,0,0.0
144.0,0,1,2,1.2857142857142858,0,0.0
145.0,0,0,3,1.375,0,0.0
146.0,0,0,3,1.75,0,0.0
147.0,0,0,4,1.8888888888888888,0,0.0
148.0,0,0,5,2.4444444444444446,0,0.0
149.0,1,0,6,3.111111111111111,0,0.0
150.0,0,0,7,3.4,0,0.0
151.0,0,0,6,4.0,0,0.0
152.0,0,0,7,4.7,0,0.0
153.0,0,0,7,5.4,0,0.0
154.0,1,0,7,6.1,0,0.0
155.0,0,0,7,6.8,0,0.0
156.0,0,0,8,7.6,0,0.0
157.0,0,0,8,8.4,0,0.0
158.0,0,0,8,9.2,0,0.0
159.0,0,0,9,10.1,0,0.0
160.0,0,0,9,11.0,0,0.0
161.0,0,0,10,10.818181818181818,0,0.0
162.0,0,0,10,11.727272727272727,0,0.0
163.0,0,0,10,12.636363636363637,0,0.0
164.0,0,0,11,12.416666666666666,0,0.0
165.0,0,0,10,13.25,0,0.0
166.0,0,0,10,14.083333333333334,0,0.0
167.0,0,0,10,14.916666666666666,0,0.0
168.0,0,0,10,15.75,0,0.0
169.0,0,0,10,16.583333333333332,0,0.0
170.0,0,0,10,17.416666666666668,0,0.0
171.0,0,0,11,18.333333333333332,0,0.0
172.0,0,0,11,19.25,0,0.0
173.0,0,0,11,20.166666666666668,0,0.0
174.0,0,0,12,21.166666666666668,0,0.0
175.0,0,0,12,22.166666666666668,0,0.0
176.0,0,0,12,23.166666666666668,0,0.0
177.0,0,0,12,24.166666666666668,0,0.0
178.0,0,0,12,25.166666666666668,0,0.0
179.0,0,0,12,26.166666666666668,0,0.0
180.0,0,0,12,27.166666666666668,0,0.0
181.0,0,0,13,26.0,0,0.0
182.0,0,0,12,26.923076923076923,0,0.0
183.0,0,0,12,27.846153846153847,0,0.0
184.0,0,0,12,28.76923076923077,0,0.0
185.0,0,0,12,29.692307692307693,0,0.0
186.0,0,0,12,30.615384615384617,0,0.0
187.0,0,0,12,31.53846153846154,0,0.0
188.0,0,0,13,32.53846153846154,0,0.0
189.0,0,0,13,33.53846153846154,0,0.0
190.0,0,0,13,34.53846153846154,0,0.0
191.0,0,0,13,35.53846153846154,0,0.0
192.0,0,0,13,36.53846153846154,0,0.0
