tiempo,prediccion,fase_aplicada,BenignoMalo_entre_Bolivar_Sucre_cola,BenignoMalo_entre_Bolivar_Sucre_espera,Sucre_llegada_BenignoMalo_cola,Sucre_llegada_BenignoMalo_espera
5,,0,0,0.0,0,0.0
10,,0,0,0.0,0,0.0
15,,0,0,0.0,0,0.0
20,,0,0,0.0,2,5.0
25,,0,0,0.0,4,19.0
30,,0,0,0.0,7,46.0
35,,0,0,0.0,10,89.0
40,,0,0,0.0,10,139.0
45,,0,0,0.0,10,189.0
50,,1,0,0.0,10,239.0
55,,2,0,0.0,5,121.0
60,,2,0,0.0,0,0.0
65,,2,0,0.0,0,0.0
70,,2,0,0.0,0,0.0
75,,2,2,6.0,0,0.0
80,,2,2,16.0,0,0.0
85,,2,2,26.0,0,0.0
90,,2,2,36.0,0,0.0
95,,2,3,47.0,0,0.0
100,,3,3,62.0,0,0.0
105,,0,0,0.0,0,0.0
110,,0,0,0.0,0,0.0
115,,0,0,0.0,0,0.0
120,,0,0,0.0,2,5.0
125,,0,0,0.0,3,17.0
130,,0,0,0.0,3,32.0
135,,0,0,0.0,4,49.0
140,,0,0,0.0,6,75.0
145,,0,0,0.0,8,108.0
150,,1,0,0.0,8,148.0
155,,2,2,2.0,4,40.0
160,,2,3,15.0,0,0.0
165,,2,3,30.0,0,0.0
170,,2,4,49.0,0,0.0
175,,2,6,74.0,0,0.0
180,,2,7,108.0,0,0.0
185,,2,7,143.0,0,0.0
190,,2,7,178.0,0,0.0
195,,2,8,215.0,0,0.0
200,,3,10,263.0,0,0.0
205,,0,2,14.0,2,3.0
210,,0,0,0.0,4,20.0
215,,0,0,0.0,5,41.0
220,,0,0,0.0,5,66.0
225,,0,0,0.0,5,91.0
230,,0,0,0.0,5,116.0
235,,0,0,0.0,7,148.0
240,,0,0,0.0,7,183.0
245,,0,0,0.0,7,218.0
250,,1,0,0.0,7,253.0
255,,2,0,0.0,4,52.0
260,,2,0,0.0,0,0.0
265,,2,0,0.0,0,0.0
270,,2,1,3.0,0,0.0
275,,2,3,16.0,0,0.0
280,,2,5,39.0,0,0.0
285,,2,5,64.0,0,0.0
290,,2,5,89.0,0,0.0
295,,2,6,117.0,0,0.0
300,,3,8,150.0,0,0.0
305,,0,2,13.0,0,0.0
310,,0,0,0.0,1,5.0
315,,0,0,0.0,3,17.0
320,,0,0,0.0,5,40.0
325,,0,0,0.0,5,65.0
330,,0,0,0.0,5,90.0
335,,0,0,0.0,6,117.0
340,,0,0,0.0,7,151.0
345,,0,0,0.0,7,186.0
350,,1,0,0.0,8,224.0
355,,2,0,0.0,3,49.0
360,,2,1,4.0,0,0.0
365,,2,1,9.0,0,0.0
370,,2,1,14.0,0,0.0
375,,2,3,27.0,0,0.0
380,,2,5,50.0,0,0.0
385,,2,6,76.0,0,0.0
390,,2,6,106.0,0,0.0
395,,2,7,139.0,0,0.0
400,,3,7,174.0,0,0.0
405,,0,0,0.0,1,4.0
410,,0,0,0.0,1,9.0
415,,0,0,0.0,2,15.0
420,,0,0,0.0,4,31.0
425,,0,0,0.0,4,51.0
430,,0,0,0.0,4,71.0
435,,0,0,0.0,5,93.0
440,,0,0,0.0,5,118.0
445,,0,0,0.0,6,144.0
450,,1,0,0.0,7,175.0
455,,2,0,0.0,3,21.0
460,,2,0,0.0,0,0.0
465,,2,1,3.0,0,0.0
470,,2,2,11.0,0,0.0
475,,2,3,23.0,0,0.0
480,,2,7,48.0,0,0.0
485,,2,8,87.0,0,0.0
490,,2,9,130.0,0,0.0
495,,2,10,180.0,0,0.0
500,,3,10,230.0,0,0.0
505,,0,1,18.0,2,4.0
510,,0,0,0.0,4,19.0
515,,0,0,0.0,7,49.0
520,,0,0,0.0,9,90.0
525,,0,0,0.0,9,135.0
530,,0,0,0.0,9,180.0
535,,0,0,0.0,9,225.0
540,,0,0,0.0,10,272.0
545,,0,0,0.0,10,322.0
550,,1,0,0.0,10,372.0
555,,2,0,0.0,5,178.0
560,,2,1,5.0,0,0.0
565,,2,1,10.0,0,0.0
570,,2,2,20.0,0,0.0
575,,2,2,30.0,0,0.0
580,,2,5,52.0,0,0.0
585,,2,6,78.0,0,0.0
590,,2,7,111.0,0,0.0
595,,2,8,151.0,0,0.0
600,,3,9,194.0,0,0.0
605,,0,4,56.0,1,4.0
610,,0,0,0.0,1,9.0
615,,0,0,0.0,1,14.0
620,,0,0,0.0,3,26.0
625,,0,0,0.0,6,49.0
630,,0,0,0.0,8,85.0
635,,0,0,0.0,8,125.0
640,,0,0,0.0,9,170.0
645,,0,0,0.0,9,215.0
650,,1,0,0.0,9,260.0
655,,2,0,0.0,5,112.0
660,,2,0,0.0,1,10.0
665,,2,0,0.0,0,0.0
670,,2,0,0.0,0,0.0
675,,2,1,3.0,0,0.0
680,,2,4,14.0,0,0.0
685,,2,4,34.0,0,0.0
690,,2,6,60.0,0,0.0
695,,2,7,92.0,0,0.0
700,,3,9,130.0,0,0.0
705,,0,2,23.0,1,3.0
710,,0,0,0.0,1,8.0
715,,0,0,0.0,1,13.0
720,,0,0,0.0,1,18.0
725,,0,0,0.0,2,27.0
730,,0,0,0.0,2,37.0
735,,0,0,0.0,2,47.0
740,,0,0,0.0,4,61.0
745,,0,0,0.0,6,88.0
750,,1,0,0.0,9,129.0
755,,2,0,0.0,5,44.0
760,,2,2,5.0,1,10.0
